Lampen_ID;XREF;YREF
00552;566726.96;5951041.04
00553;566278.57;5949552.54
00554;566288.71;5949536.04
00555;566301.50;5949519.54
00556;566316.30;5949501.00
00557;566328.26;5949480.24
00558;566323.23;5949450.48
00559;566321.29;5949426.40
00560;566318.34;5949401.69
00561;566335.85;5949369.99
00562;566359.06;5949361.64
00563;566377.79;5949354.80
00564;566308.18;5949374.11
00565;566294.70;5949355.42
00566;566287.96;5949336.94
00567;566283.45;5949316.34
00568;566283.03;5949297.21
00569;566278.52;5949277.70
00570;566256.86;5949275.26
00571;566228.20;5949281.27
00572;566199.86;5949287.46
00573;566171.71;5949293.49
00574;566151.74;5949295.84
00575;566144.25;5949271.80
00576;566136.78;5949252.80
00577;566129.29;5949233.99
00578;566121.80;5949215.51
00579;566113.55;5949197.43
00580;566105.00;5949178.65
00581;566092.70;5949159.66
00582;566085.69;5949982.05
00583;566096.82;5949958.88
00584;566110.62;5949935.16
00585;566070.68;5950003.55
00586;568124.89;5948902.83
00587;565066.29;5949527.61
00588;565068.72;5949557.31
00589;565072.07;5949580.02
00590;565075.67;5949603.07
00591;565079.99;5949627.47
00592;565084.66;5949648.96
00593;565089.59;5949671.30
00594;565095.74;5949695.02
00595;565103.50;5949719.31
00596;565112.58;5949744.33
00597;565122.22;5949769.56
00598;565131.03;5949791.75
00599;565140.94;5949814.74
00600;565151.30;5949836.10
00601;565162.52;5949856.65
00602;565176.45;5949879.84
00603;565191.16;5949903.56
00604;565204.22;5949924.18
00605;565216.09;5949942.90
00606;565228.58;5949961.95
00607;565243.94;5949985.17
00608;565257.33;5950006.18
00609;565269.66;5950026.40
00610;565282.10;5950046.60
00611;565295.71;5950067.98
00612;565309.70;5950089.55
00613;565323.03;5950110.02
00614;565066.63;5949448.20
00615;565066.09;5949473.19
00616;565065.83;5949498.31
00617;565075.36;5949427.93
00618;565348.21;5950208.41
00619;565353.10;5950187.73
00620;565350.10;5950166.39
00621;565334.05;5950148.00
00622;565327.92;5950167.41
00623;565325.89;5950186.82
00624;565335.13;5950205.58
00625;565333.79;5950126.99
00626;565385.10;5950142.40
00627;565397.57;5950156.71
00628;565413.15;5950157.75
00629;565415.87;5950192.42
00630;565406.86;5950174.98
00631;565409.35;5950144.03
00632;565393.79;5950136.44
00633;565376.80;5950126.56
00634;565428.33;5950145.98
00635;565365.28;5950111.59
00636;565369.06;5950131.10
00637;565078.85;5949396.68
00638;565085.42;5949367.98
00639;565087.99;5949337.87
00640;565088.94;5949300.97
00641;565090.18;5949264.43
00642;565092.93;5949235.02
00643;565095.90;5949205.02
00644;565098.96;5949175.27
00645;565102.99;5949141.46
00646;565104.82;5949107.47
00647;565102.27;5949074.32
00648;565102.81;5949008.30
00649;565102.15;5948986.27
00650;565108.75;5948965.05
00651;565099.68;5948949.40
00652;565121.62;5954243.61
00653;564470.11;5951381.80
00654;564451.79;5951372.32
00655;564424.71;5951379.31
00656;564419.93;5951402.79
00657;564428.35;5951418.89
00658;564441.97;5951436.38
00659;564457.65;5951456.48
00660;565379.08;5952485.50
00661;565362.79;5952497.54
00662;565345.39;5952505.17
00663;565427.75;5952442.67
00664;565418.98;5952452.74
00665;565395.00;5952472.34
00666;565421.11;5952467.43
00667;564835.97;5950519.25
00668;564719.78;5950425.01
00669;564738.66;5950441.99
00670;564760.21;5950455.56
00671;564783.67;5950465.22
00672;564806.06;5950474.94
00673;564828.87;5950488.14
00674;564674.03;5950413.29
00675;564698.58;5950413.84
00676;564648.08;5950412.65
00677;564867.68;5950419.93
00678;564878.04;5950403.59
00679;564888.71;5950386.79
00680;564898.88;5950370.44
00681;564894.64;5950852.78
00682;564868.46;5950846.44
00683;564842.43;5950838.53
00684;564817.11;5950829.93
00685;564794.13;5950829.99
00686;564773.44;5950841.97
00687;564786.23;5950861.73
00688;564755.42;5950862.50
00689;564743.91;5950883.87
00690;564785.64;5950805.95
00691;564766.16;5950790.18
00692;564731.42;5950906.14
00693;564705.28;5950924.97
00694;565465.94;5951523.00
00695;565475.47;5951546.66
00696;565475.05;5951569.58
00697;565474.46;5951589.48
00698;565473.96;5951609.34
00699;565470.73;5951629.37
00700;565426.27;5951517.29
00701;565446.57;5951517.99
00702;565415.52;5951510.54
00703;565425.22;5951430.93
00704;565434.71;5951458.67
00705;565448.31;5951483.90
00706;565408.13;5951409.92
00707;565399.97;5951433.98
00708;565404.21;5951450.24
00709;565408.79;5951471.35
00710;565409.60;5951491.00
00711;565392.47;5951477.33
00712;565388.61;5951461.64
00713;565383.31;5951444.81
00714;565467.91;5951498.97
00715;567645.57;5950145.86
00716;567647.75;5950122.49
00717;567646.14;5950098.90
00718;567647.43;5950075.99
00719;567648.73;5950053.07
00720;567639.34;5950032.72
00721;566725.35;5951884.52
00722;566705.11;5951870.10
00723;566688.41;5951851.63
00724;566766.11;5951913.50
00725;566745.84;5951899.02
00726;566827.18;5951956.94
00727;566806.81;5951942.48
00728;566786.46;5951927.95
00729;566929.76;5952028.25
00730;566909.14;5952014.11
00731;566888.54;5952000.00
